id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
15467130,Beautiful Apartment -Available Sept/Oct,4047395,Blanca,Brooklyn,Clinton Hill,Entire home/apt,100,7,7
41688439,Modern apartment in luxury building on the UES,190135133,Claudia,Manhattan,Upper East Side,Entire home/apt,100,7,5
37998221,Live like Brooklyn local w/ comfort & style.,2268292,Matthew,Brooklyn,Bedford-Stuyvesant,Entire home/apt,146,7,7
15833574,Delightful studio apartment.,102526590,Edward,Staten Island,Castleton Corners,Entire home/apt,69,2,68
2719640,Spacious Sunny Office & Suite on a Private Floor,6586128,Martine,Bronx,Port Morris,Entire home/apt,85,12,32
25798517,Living Art Gallery Room in New Bushwick Building,6726656,Yelle,Brooklyn,Bushwick,Private room,50,30,79
48184215,Midtown New York 1BR Condo,371942068,Joy,Manhattan,Midtown,Entire home/apt,349,14,0
51124220,"Home away from Home ,Neat and clean 5 minutes JFK",367395383,Tara,Queens,South Ozone Park,Entire home/apt,99,2,1
39760322,NYC Empire State/Madison Square Garden 3 Bed Apt,283812343,Dylan,Manhattan,Kips Bay,Entire home/apt,225,30,2
35479956,Airy and bright artist’s loft space in Fort Greene,602359,Mutale,Brooklyn,Fort Greene,Entire home/apt,157,3,28
45830845,Cosy studio in a town house,21742914,Patrick,Manhattan,Gramercy,Entire home/apt,85,30,2
2371794,Master bedroom in historic house,2588427,Rip,Manhattan,Tribeca,Private room,133,30,30
22306777,"Spacious, luminous, furnished Bushwick room",19561602,Bartolomeo,Brooklyn,Bushwick,Entire home/apt,51,30,2
21324360,Cobble Hill Brooklyn....SUPER PRIME 1BR - full apt,154362702,Chris,Brooklyn,Cobble Hill,Entire home/apt,275,30,34
48235680,Urban Living in Prospect Lefferts Gardens,305240193,June,Brooklyn,Prospect-Lefferts Gardens,Private room,34,30,0
15421244,La Casa in Brooklyn: Stylish Apt. with Patio,98828133,Noelky,Brooklyn,Crown Heights,Entire home/apt,130,30,186
34403759,( GREEN ROOM) Private in a Beautiful Town House,50052968,Mike,Brooklyn,Bedford-Stuyvesant,Private room,67,1,71
51001754,2-Story Apt! Free Parking! Very close to LGA!,258884392,Deneesha,Queens,East Elmhurst,Entire home/apt,135,30,0
2435198,"Lovely Private Bedroom in Vibrant Bronx, NY",12446529,Migdalia,Bronx,Soundview,Private room,59,3,42
20174551,"Clean and bright apartment in Harlem, 2 BR",143603020,Justine,Manhattan,Harlem,Entire home/apt,130,30,5
16026567,Cozy Room In Williamsburg Near Trains❤️,13394035,Samuel,Brooklyn,Williamsburg,Private room,44,30,92
48677256,Beautiful Spacious Apt & Terrace near Forest Park,8769461,Claudia,Queens,Kew Gardens,Entire home/apt,100,90,0
23563112,Easy Street in Brooklyn!,23891395,Bess,Brooklyn,South Slope,Private room,45,30,5
17494449,Bright and Sunny Room in Amazing Bushwick Apt,27522582,Gabriele,Brooklyn,Bushwick,Private room,29,30,0
9838145,Bright 3 BR East Village apartment,5904463,Katherine,Manhattan,East Village,Entire home/apt,250,30,0
2432545,Your own apartment in Bushwick,3053987,Darwin And Nicole,Brooklyn,Bushwick,Entire home/apt,81,30,43
29884003,Great Room next to Empire State Building w/ROOFTOP,11907194,Thomas,Manhattan,Midtown,Private room,110,30,8
17824129,NEWLY FURNISHED Studio at Park Avenue South,102763353,Krysia,Manhattan,Midtown,Entire home/apt,120,30,5
14858777,West Harlem Cosy and Spacious Room,9030453,Irie,Manhattan,Harlem,Private room,71,90,6
22245492,Ft Greene Studio,106899231,Heather,Brooklyn,Fort Greene,Entire home/apt,150,30,74
48393927,Awesome room available on 2nd Ave in East Village!,167052275,Jonathan,Manhattan,East Village,Private room,100,30,0
28952183,Cozy private room in spacious Brooklyn Apartment,19899115,Libby,Brooklyn,Crown Heights,Private room,50,30,6
4798794,Roomy West Village Studio,1660906,Victoria,Manhattan,West Village,Entire home/apt,250,30,3
31380618,Private Spacious Home Studio Apartment,4852748,Michelle,Manhattan,Harlem,Private room,128,3,1
857696,PRIVATE LARGE-MODERN-CLEAN master bedroom,2559004,Sergio,Manhattan,East Harlem,Private room,49,30,4
7293506,Charming Upper West Side Apartment,2993160,Lauren,Manhattan,Upper West Side,Entire home/apt,200,30,0
50402337,Short & Sweet Stay in The New NYC,58203710,Kevin,Queens,Long Island City,Entire home/apt,162,2,6
9556983,Private modern room with NYC skyline view,49485109,Spencer,Brooklyn,Bushwick,Private room,65,30,18
50995900,PERFECT LOCATION  NEAR HOSPITAL! NEW YORK MANHATTA,412483132,Irene,Manhattan,Harlem,Private room,65,5,0
41914723,Beautiful Large Artistic Bedroom in Ocean Hill,54812662,Iram,Brooklyn,Bedford-Stuyvesant,Private room,38,1,0
5204458,Vintage Jewel in Crown Heights,1238879,Kristen,Brooklyn,Crown Heights,Entire home/apt,96,30,2
