,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
189,Dennis Schröder,PG,26,OKC,7,0,227,7.0,17.3,.404,2.1,7.1,.289,4.9,10.1,.484,3.2,4.0,.800,0.3,3.8,4.1,4.0,0.6,0.2,2.7,2.4,19.2
190,Mike Scott,PF,31,PHI,4,0,20,1.8,9.0,.200,0.0,3.6,.000,1.8,5.4,.333,7.2,7.2,1.000,3.6,10.8,14.4,1.8,0.0,0.0,0.0,3.6,10.8
191,Landry Shamet,SG,22,LAC,13,4,243,3.6,8.7,.407,2.2,6.2,.357,1.3,2.5,.529,0.7,1.0,.714,0.0,3.3,3.3,2.5,0.9,0.4,1.9,2.7,10.1
192,Pascal Siakam,PF,25,TOR,11,11,418,6.2,15.7,.396,0.9,4.6,.189,5.3,11.1,.481,2.8,4.0,.717,1.2,5.9,7.1,3.6,1.0,0.3,1.9,2.8,16.1
193,Anfernee Simons,SG,20,POR,4,0,82,3.5,11.4,.308,2.6,6.1,.429,0.9,5.3,.167,2.2,2.6,.833,0.4,4.4,4.8,4.4,2.6,0.0,1.8,3.1,11.9
194,Marcus Smart,SG,25,BOS,17,16,648,4.3,11.0,.394,2.3,6.8,.333,2.1,4.2,.493,2.7,3.1,.875,0.6,4.4,4.9,4.3,1.2,0.4,2.5,3.1,13.7
195,J.R. Smith,SG,34,LAL,10,0,75,3.4,12.5,.269,2.9,10.6,.273,0.5,1.9,.250,0.0,0.0,,0.0,1.4,1.4,1.4,1.0,0.0,3.4,5.3,9.6
196,Edmond Sumner,PG,24,IND,3,0,41,1.8,6.1,.286,0.0,2.6,.000,1.8,3.5,.500,1.8,1.8,1.000,0.9,4.4,5.3,0.0,0.0,0.0,1.8,4.4,5.3
197,Jayson Tatum,PF,21,BOS,17,17,690,7.6,17.4,.434,2.5,6.6,.373,5.1,10.9,.471,5.2,6.4,.813,1.1,7.7,8.9,4.4,0.9,1.0,2.5,2.1,22.8
198,Garrett Temple,SG,33,BRK,4,4,137,4.5,12.9,.347,2.4,9.5,.250,2.1,3.4,.615,1.3,1.6,.833,0.0,2.9,2.9,2.1,0.8,0.3,1.6,3.2,12.6
199,Daniel Theis,C,27,BOS,17,17,482,4.6,8.7,.521,0.3,1.9,.154,4.3,6.8,.626,1.9,2.5,.788,2.4,6.6,9.0,1.9,0.4,1.6,1.1,4.9,11.4
200,Lance Thomas,SF,31,BRK,3,0,17,2.1,10.6,.200,0.0,4.2,.000,2.1,6.4,.333,4.2,8.5,.500,2.1,4.2,6.4,0.0,0.0,2.1,0.0,4.2,8.5
201,Matt Thomas,SG,25,TOR,10,0,84,5.6,9.0,.619,2.1,5.1,.417,3.4,3.9,.889,0.0,0.0,,0.4,5.6,6.0,3.0,0.4,0.4,0.4,2.6,13.3
202,Matisse Thybulle,SG,22,PHI,4,1,75,1.4,3.4,.429,0.5,1.9,.250,1.0,1.4,.667,0.0,0.0,,0.5,2.9,3.4,1.0,1.4,0.5,1.0,2.9,3.4
203,Gary Trent Jr.,SG,21,POR,5,1,153,3.8,10.6,.356,2.4,5.6,.417,1.4,4.9,.286,1.4,1.6,.857,1.2,1.2,2.4,0.7,0.9,0.0,1.2,3.8,11.3
204,P.J. Tucker,PF,34,HOU,12,12,414,3.0,7.7,.398,2.2,5.8,.373,0.9,1.8,.476,0.0,0.0,,2.0,5.5,7.5,1.6,1.1,0.3,1.0,4.1,8.3
205,Rayjon Tucker,SG,22,UTA,2,0,11,6.5,16.4,.400,3.3,9.8,.333,3.3,6.5,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,16.4
206,Myles Turner,C,23,IND,4,4,146,6.2,10.8,.568,1.5,3.5,.429,4.7,7.4,.633,1.7,3.9,.438,2.7,7.9,10.6,0.7,0.5,3.9,2.2,3.2,15.5
207,Fred VanVleet,PG,25,TOR,11,11,430,6.4,15.9,.400,3.6,9.2,.391,2.8,6.7,.413,1.8,2.1,.840,0.4,3.6,4.0,6.4,1.5,0.6,1.8,2.3,18.1
208,Gabe Vincent,PG,23,MIA,1,0,0,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Noah Vonleh,PF,24,DEN,1,0,3,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Nikola Vučević,C,29,ORL,5,5,185,10.9,21.6,.505,3.5,8.6,.409,7.4,13.0,.567,1.9,2.1,.909,1.8,9.0,10.7,3.9,0.8,0.6,2.5,2.5,27.2
