,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
520,Michael Porter Jr.,PF,21,DEN,55,8,903,7.8,15.3,.509,2.5,5.9,.422,5.3,9.4,.564,2.4,2.9,.833,2.6,7.7,10.3,1.8,1.1,1.0,2.0,4.0,20.4
521,Otto Porter,SF,26,CHI,14,9,331,6.7,15.2,.443,2.6,6.7,.387,4.1,8.5,.487,2.1,2.9,.704,1.4,3.8,5.2,2.7,1.6,0.7,1.2,3.4,18.2
522,Bobby Portis,C,24,NYK,66,5,1393,6.8,15.2,.450,1.7,4.8,.358,5.1,10.4,.493,1.8,2.4,.763,2.1,6.7,8.7,2.5,0.8,0.5,1.9,2.8,17.3
523,Kristaps Porziņģis,PF,24,DAL,57,57,1814,7.9,18.5,.427,2.8,8.0,.352,5.1,10.5,.484,4.5,5.6,.799,2.0,8.7,10.7,2.0,0.8,2.3,1.8,3.7,23.1
524,Dwight Powell,C,28,DAL,40,37,1061,5.0,7.8,.638,0.3,1.3,.256,4.6,6.4,.716,2.5,3.8,.667,2.5,5.2,7.7,2.0,1.2,0.7,1.2,3.5,12.8
525,Norman Powell,SG,26,TOR,52,26,1479,7.2,14.6,.495,2.7,6.6,.399,4.6,7.9,.575,3.1,3.7,.843,0.6,4.0,4.6,2.2,1.5,0.5,1.9,2.6,20.2
526,Chasson Randle,PG,26,GSW,3,0,40,0.0,3.6,.000,0.0,1.8,.000,0.0,1.8,.000,4.5,5.4,.833,0.0,1.8,1.8,4.5,1.8,0.0,0.0,2.7,4.5
527,Julius Randle,PF,25,NYK,64,64,2080,8.0,17.4,.460,1.1,4.0,.277,6.9,13.4,.515,4.5,6.1,.733,2.6,8.2,10.8,3.4,0.9,0.4,3.3,3.1,21.6
528,Josh Reaves,SG,22,DAL,4,0,28,3.9,11.6,.333,0.0,2.6,.000,3.9,9.0,.429,2.6,2.6,1.000,1.3,2.6,3.9,3.9,0.0,0.0,0.0,6.4,10.3
529,Cam Reddish,SF,20,ATL,58,34,1551,4.9,12.9,.384,1.9,5.8,.332,3.0,7.1,.428,2.3,2.9,.802,0.8,4.2,5.0,2.0,1.4,0.6,2.2,3.1,14.2
530,J.J. Redick,SG,35,NOP,60,36,1581,6.5,14.4,.453,4.1,9.0,.453,2.4,5.3,.453,3.8,4.2,.892,0.2,3.2,3.4,2.7,0.5,0.2,1.7,2.2,20.9
531,Naz Reid,C,20,MIN,30,11,495,7.3,17.7,.412,2.3,7.1,.330,4.9,10.6,.466,2.7,3.9,.698,2.5,6.5,9.0,2.5,1.4,1.6,1.6,6.0,19.6
532,Josh Richardson,SG,26,PHI,55,53,1693,5.9,13.7,.430,1.8,5.3,.341,4.1,8.4,.486,2.4,3.0,.809,0.9,2.8,3.7,3.4,1.1,0.8,2.2,2.9,16.1
533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
