,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
479,Jaylen Nowell,SG,20,MIN,15,0,151,5.8,16.3,.358,0.9,8.0,.115,4.9,8.3,.593,4.9,5.2,.941,0.9,3.1,4.0,5.8,0.9,0.3,0.9,3.4,17.5,,109,117
480,Frank Ntilikina,PG,21,NYK,57,26,1187,5.4,13.7,.393,1.8,5.6,.321,3.6,8.0,.444,2.1,2.4,.864,0.9,4.0,5.0,7.1,2.2,0.7,2.9,5.8,14.6,,103,113
481,Kendrick Nunn,SG,24,MIA,67,67,1962,10.0,22.7,.439,3.4,9.7,.350,6.6,13.0,.505,2.1,2.5,.850,0.5,4.0,4.5,5.5,1.4,0.4,2.8,3.8,25.5,,103,112
482,Jusuf Nurkić,C,25,POR,8,8,253,10.2,20.5,.495,0.4,1.9,.200,9.8,18.6,.525,5.8,6.6,.886,4.3,11.1,15.4,6.0,2.1,3.0,3.6,7.3,26.6,,116,108
483,David Nwaba,SF,27,BRK,20,0,268,6.5,12.5,.521,2.1,4.9,.429,4.4,7.6,.581,3.2,4.8,.667,1.4,6.5,7.9,1.4,1.9,2.1,1.4,5.7,18.4,,120,107
484,Royce O'Neale,PF,26,UTA,71,62,2049,3.8,8.7,.433,2.2,5.8,.377,1.6,2.9,.545,1.0,1.3,.764,0.6,8.6,9.2,4.3,1.4,0.8,1.4,4.8,10.7,,117,109
485,Kyle O'Quinn,C,29,PHI,29,2,313,6.5,13.2,.494,1.1,4.2,.259,5.4,9.0,.603,1.7,3.1,.550,5.3,12.7,18.0,7.9,1.1,3.7,3.1,5.7,15.8,,117,104
486,Semi Ojeleye,PF,25,BOS,69,6,1011,3.8,9.4,.408,2.3,6.1,.378,1.5,3.3,.464,1.3,1.5,.875,1.2,5.7,6.9,1.8,1.0,0.2,0.9,3.8,11.3,,116,111
487,Jahlil Okafor,C,24,NOP,30,9,467,10.0,16.1,.623,0.1,0.3,.333,9.9,15.8,.629,4.0,6.1,.645,4.8,7.8,12.6,3.7,0.7,2.2,3.8,6.6,24.1,,117,112
488,Elie Okobo,PG,22,PHO,55,3,719,4.7,11.9,.398,1.6,4.7,.352,3.1,7.2,.427,3.3,4.7,.704,1.1,4.9,5.9,7.6,1.6,0.3,2.5,3.6,14.4,,109,113
489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Josh Okogie,SG,21,MIN,62,28,1547,5.1,11.9,.427,1.2,4.6,.266,3.9,7.3,.529,4.6,5.7,.796,2.6,5.4,8.0,3.0,2.0,0.8,2.6,4.2,16.0,,108,113
491,KZ Okpala,SF,20,MIA,5,0,26,5.6,9.4,.600,0.0,1.9,.000,5.6,7.5,.750,1.9,3.8,.500,1.9,7.5,9.4,1.9,3.8,1.9,1.9,3.8,13.1,,110,103
492,Victor Oladipo,SG,27,IND,19,16,528,8.9,22.6,.394,3.0,9.6,.317,5.9,13.0,.451,4.4,5.4,.814,0.8,6.1,6.9,5.1,1.6,0.4,4.3,3.3,25.3,,94,110
493,Kelly Olynyk,C,28,MIA,67,9,1300,6.9,14.9,.462,3.6,8.8,.406,3.3,6.2,.543,3.2,3.8,.860,1.7,9.8,11.5,4.4,1.7,0.9,2.7,6.5,20.6,,116,108
494,Miye Oni,SG,22,UTA,10,1,109,5.4,14.3,.375,3.1,8.5,.368,2.2,5.8,.385,1.8,2.2,.800,2.2,5.4,7.6,1.8,1.8,0.9,1.8,4.0,15.6,,104,110
495,Cedi Osman,SF,24,CLE,65,65,1910,6.8,15.5,.437,3.1,8.2,.383,3.6,7.3,.497,1.6,2.4,.670,1.0,4.9,5.9,3.9,1.4,0.4,2.3,4.1,18.3,,107,117
496,Kelly Oubre Jr.,SF,24,PHO,56,55,1933,9.1,20.2,.452,2.6,7.5,.352,6.5,12.7,.511,4.7,6.0,.780,1.6,7.2,8.8,2.1,1.7,1.0,2.0,4.7,25.6,,109,110
497,Tariq Owens,PF,24,PHO,3,0,15,3.2,15.8,.200,0.0,6.3,.000,3.2,9.5,.333,6.3,6.3,1.000,6.3,3.2,9.5,0.0,3.2,0.0,0.0,3.2,12.6,,96,111
498,Jeremy Pargo,PG,33,GSW,3,0,44,12.0,23.9,.500,3.3,7.6,.429,8.7,16.3,.533,0.0,1.1,.000,1.1,2.2,3.3,8.7,1.1,0.0,4.4,8.7,27.2,,103,119
499,Jabari Parker,PF,24,TOT,38,23,917,11.2,21.9,.510,1.6,6.1,.269,9.5,15.8,.603,3.1,4.1,.753,3.1,7.8,10.9,3.5,2.3,0.8,3.3,5.0,27.1,,108,112
500,Jabari Parker,PF,24,ATL,32,23,837,11.0,21.9,.504,1.7,6.4,.270,9.3,15.5,.601,3.0,4.0,.736,3.0,7.6,10.6,3.2,2.3,0.8,3.3,5.2,26.7,,106,113
501,Jabari Parker,PF,24,SAC,6,0,80,12.7,21.8,.583,0.6,2.4,.250,12.1,19.4,.625,4.9,5.5,.889,4.2,9.7,13.9,6.1,1.8,0.6,2.4,3.6,30.9,,129,110
502,Chandler Parsons,SF,31,ATL,5,0,54,4.3,15.5,.278,3.5,12.1,.286,0.9,3.5,.250,0.0,0.0,,0.9,5.2,6.0,2.6,3.5,0.9,2.6,2.6,12.1,,77,112
503,Eric Paschall,PF,23,GSW,60,26,1654,9.2,18.5,.497,1.1,3.7,.287,8.1,14.8,.550,4.7,6.1,.774,2.4,5.6,8.0,3.7,0.9,0.4,2.7,3.6,24.2,,110,117
504,Anžejs Pasečņiks,C,24,WAS,27,0,437,6.5,12.4,.526,0.0,0.3,.000,6.5,12.1,.540,3.6,6.2,.586,4.5,7.0,11.4,1.9,1.0,1.3,2.6,8.0,16.7,,109,116
505,Patrick Patterson,PF,30,LAC,59,18,776,5.8,14.2,.408,4.1,10.5,.390,1.7,3.7,.459,2.1,2.6,.814,2.1,7.1,9.2,2.5,0.4,0.2,1.3,3.3,17.8,,119,111
506,Justin Patton,C,22,OKC,5,0,24,8.1,20.2,.400,2.0,8.1,.250,6.1,12.1,.500,0.0,0.0,,2.0,8.1,10.1,4.0,0.0,0.0,4.0,8.1,18.2,,86,113
507,Chris Paul,PG,34,OKC,70,70,2208,9.6,19.5,.489,2.4,6.7,.365,7.1,12.8,.554,5.6,6.1,.907,0.6,7.1,7.7,10.4,2.4,0.2,3.5,3.5,27.1,,120,108
508,Cameron Payne,PG,25,PHO,8,0,183,8.5,17.6,.485,3.9,7.5,.517,4.7,10.1,.462,1.6,1.8,.857,1.0,7.0,8.0,6.2,2.1,0.5,2.8,5.2,22.5,,115,110
509,Elfrid Payton,PG,25,NYK,45,36,1246,7.5,17.2,.439,0.5,2.7,.203,7.0,14.5,.482,1.9,3.4,.570,2.0,6.3,8.3,12.6,2.7,0.7,3.8,3.5,17.5,,105,111
510,Gary Payton II,PG,27,WAS,29,17,432,5.2,12.6,.414,1.4,5.0,.283,3.8,7.6,.500,0.4,0.9,.500,2.8,5.8,8.7,5.2,3.6,0.8,2.2,5.8,12.2,,103,111
511,Norvel Pelle,C,26,PHI,24,0,232,5.2,10.0,.521,0.0,0.2,.000,5.2,9.8,.532,1.5,2.9,.500,4.2,10.9,15.0,1.7,0.6,6.5,3.8,11.5,11.9,,94,102
512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Theo Pinson,SG,24,BRK,33,0,365,5.8,20.1,.290,1.9,10.4,.188,3.9,9.7,.400,1.9,2.1,.938,1.3,5.7,7.0,7.3,2.2,0.5,4.3,4.5,15.6,,80,109
514,Mason Plumlee,C,29,DEN,61,1,1057,8.3,13.5,.615,0.0,0.2,.000,8.3,13.2,.625,3.9,7.2,.535,4.6,10.2,14.8,7.2,1.5,1.8,3.8,6.7,20.4,,118,108
515,Jakob Poeltl,C,24,SAS,66,18,1171,6.8,10.9,.624,0.0,0.0,,6.8,10.9,.624,1.6,3.5,.465,5.3,10.0,15.3,4.7,1.5,3.9,2.2,5.1,15.2,,125,108
516,Vincent Poirier,C,26,BOS,22,0,130,6.3,13.4,.472,0.4,0.7,.500,5.9,12.6,.471,2.2,2.6,.857,4.8,11.1,16.0,3.0,0.7,3.3,3.0,9.3,15.2,,107,104
517,Shamorie Ponds,PG,21,TOR,4,0,11,13.0,21.6,.600,4.3,8.6,.500,8.6,13.0,.667,8.6,8.6,1.000,0.0,4.3,4.3,8.6,0.0,4.3,0.0,8.6,38.9,,164,107
518,Jordan Poole,SG,20,GSW,57,14,1274,6.3,18.9,.333,2.8,10.0,.279,3.5,8.9,.392,3.6,4.5,.798,0.3,4.1,4.4,5.0,1.3,0.4,2.8,3.5,18.9,,91,117
519,Kevin Porter Jr.,SF,19,CLE,50,3,1162,7.8,17.6,.442,2.2,6.6,.335,5.6,11.0,.506,3.1,4.2,.723,0.9,5.9,6.8,4.6,1.9,0.6,3.9,5.7,20.9,,99,115
520,Michael Porter Jr.,PF,21,DEN,55,8,903,10.7,21.0,.509,3.4,8.0,.422,7.3,12.9,.564,3.3,3.9,.833,3.6,10.6,14.2,2.5,1.5,1.4,2.7,5.5,28.0,,118,109
521,Otto Porter,SF,26,CHI,14,9,331,9.0,20.4,.443,3.5,9.0,.387,5.5,11.4,.487,2.8,3.9,.704,1.9,5.1,7.0,3.6,2.2,0.9,1.6,4.5,24.3,,112,110
522,Bobby Portis,C,24,NYK,66,5,1393,9.3,20.6,.450,2.3,6.5,.358,6.9,14.1,.493,2.5,3.3,.763,2.8,9.0,11.8,3.4,1.1,0.6,2.6,3.8,23.3,,107,113
523,Kristaps Porziņģis,PF,24,DAL,57,57,1814,10.6,24.8,.427,3.8,10.7,.352,6.8,14.1,.484,6.0,7.5,.799,2.7,11.7,14.4,2.7,1.1,3.1,2.5,4.9,31.0,,111,107
524,Dwight Powell,C,28,DAL,40,37,1061,6.7,10.4,.638,0.5,1.8,.256,6.2,8.7,.716,3.4,5.1,.667,3.4,6.9,10.3,2.7,1.5,1.0,1.6,4.6,17.1,,134,111
525,Norman Powell,SG,26,TOR,52,26,1479,9.5,19.2,.495,3.5,8.8,.399,6.0,10.5,.575,4.1,4.9,.843,0.8,5.3,6.1,2.9,1.9,0.7,2.5,3.5,26.7,,115,106
526,Chasson Randle,PG,26,GSW,3,0,40,0.0,4.8,.000,0.0,2.4,.000,0.0,2.4,.000,6.0,7.2,.833,0.0,2.4,2.4,6.0,2.4,0.0,0.0,3.6,6.0,,113,116
527,Julius Randle,PF,25,NYK,64,64,2080,10.8,23.5,.460,1.5,5.4,.277,9.3,18.1,.515,6.0,8.2,.733,3.5,11.0,14.6,4.6,1.2,0.5,4.5,4.2,29.2,,105,112
528,Josh Reaves,SG,22,DAL,4,0,28,5.2,15.5,.333,0.0,3.5,.000,5.2,12.1,.429,3.5,3.5,1.000,1.7,3.5,5.2,5.2,0.0,0.0,0.0,8.6,13.8,,107,118
529,Cam Reddish,SF,20,ATL,58,34,1551,6.4,16.6,.384,2.5,7.5,.332,3.9,9.1,.428,3.0,3.8,.802,1.1,5.4,6.5,2.6,1.9,0.8,2.9,4.0,18.3,,95,115
530,J.J. Redick,SG,35,NOP,60,36,1581,8.4,18.5,.453,5.3,11.6,.453,3.1,6.8,.453,4.8,5.4,.892,0.3,4.1,4.4,3.5,0.6,0.3,2.2,2.8,26.8,,122,116
531,Naz Reid,C,20,MIN,30,11,495,9.4,22.8,.412,3.0,9.1,.330,6.4,13.7,.466,3.5,5.0,.698,3.2,8.4,11.6,3.3,1.8,2.1,2.1,7.8,25.2,,105,110
532,Josh Richardson,SG,26,PHI,55,53,1693,8.0,18.5,.430,2.4,7.1,.341,5.5,11.4,.486,3.3,4.0,.809,1.2,3.8,5.0,4.6,1.5,1.0,3.0,3.9,21.6,,104,111
533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Austin Rivers,SG,27,HOU,68,4,1594,6.1,14.5,.421,2.8,7.8,.356,3.3,6.7,.498,2.3,3.2,.703,0.8,4.3,5.1,3.3,1.4,0.3,1.5,3.7,17.3,,110,113
535,Andre Roberson,SG,28,OKC,7,0,87,4.5,16.2,.276,1.7,7.8,.214,2.8,8.4,.333,0.6,1.1,.500,3.9,11.2,15.1,2.2,0.6,1.7,1.1,7.3,11.2,,84,108
536,Duncan Robinson,SG,25,MIA,73,68,2166,7.3,15.5,.470,6.1,13.7,.446,1.2,1.8,.654,1.5,1.6,.931,0.2,5.0,5.2,2.3,0.8,0.4,1.6,4.3,22.2,,122,113
537,Glenn Robinson III,SF,26,TOT,62,52,1786,7.7,15.9,.486,2.1,5.3,.391,5.7,10.6,.534,2.0,2.3,.860,2.2,5.1,7.2,2.6,1.4,0.4,1.5,2.7,19.5,,114,115
538,Glenn Robinson III,SF,26,GSW,48,48,1516,7.7,16.0,.481,2.1,5.4,.400,5.6,10.6,.522,2.0,2.3,.851,2.1,5.1,7.1,2.7,1.4,0.4,1.6,2.6,19.5,,112,116
539,Glenn Robinson III,SF,26,PHI,14,4,270,7.9,15.3,.518,1.6,4.8,.333,6.3,10.4,.603,2.0,2.2,.917,2.7,5.2,7.9,2.0,1.6,0.4,0.9,3.2,19.4,,124,111
540,Jerome Robinson,SG,22,TOT,63,6,979,5.5,14.9,.371,2.4,7.3,.320,3.2,7.5,.420,1.9,2.7,.702,0.6,5.6,6.2,4.2,1.3,0.8,2.4,5.4,15.3,,96,113
541,Jerome Robinson,SG,22,LAC,42,1,476,4.6,13.5,.338,1.9,6.7,.284,2.7,6.9,.391,1.1,1.9,.579,0.5,5.5,6.0,4.6,1.3,0.8,2.6,5.5,12.1,,87,109
542,Jerome Robinson,SG,22,WAS,21,5,503,6.4,16.2,.397,2.8,8.0,.349,3.6,8.2,.443,2.7,3.5,.763,0.7,5.7,6.4,3.8,1.4,0.8,2.1,5.3,18.3,,103,116
543,Justin Robinson,PG,22,WAS,9,0,49,4.8,11.4,.417,2.9,4.8,.600,1.9,6.7,.286,0.0,0.0,,1.0,3.8,4.8,6.7,0.0,1.0,2.9,1.9,12.4,,105,120
544,Mitchell Robinson,C,21,NYK,61,7,1412,8.7,11.8,.742,0.0,0.0,,8.7,11.8,.742,2.9,5.1,.568,6.4,8.3,14.8,1.2,1.8,4.1,1.3,6.7,20.3,,144,107
545,Isaiah Roby,SF,21,OKC,3,0,11,0.0,4.4,.000,0.0,0.0,,0.0,4.4,.000,0.0,0.0,,0.0,8.8,8.8,0.0,0.0,0.0,4.4,4.4,0.0,,0,113
546,Rajon Rondo,PG,33,LAL,48,3,984,6.6,15.8,.418,2.0,6.0,.328,4.6,9.8,.473,1.3,2.0,.659,1.1,5.8,6.9,11.6,1.9,0.1,4.4,2.8,16.5,,103,108
547,Derrick Rose,PG,31,DET,50,15,1298,14.0,28.5,.490,1.7,5.6,.306,12.3,23.0,.535,4.6,5.3,.871,1.0,3.6,4.6,10.5,1.5,0.6,4.8,1.9,34.3,,109,115
548,Terrence Ross,SG,28,ORL,69,0,1889,8.8,21.8,.403,4.6,13.0,.351,4.2,8.8,.480,4.0,4.7,.853,0.3,5.4,5.7,2.1,2.0,0.6,1.8,2.8,26.2,,106,110
549,Terry Rozier,PG,25,CHO,63,63,2164,9.2,21.8,.423,4.0,9.8,.407,5.2,12.0,.436,3.8,4.4,.874,1.2,5.2,6.4,6.0,1.4,0.2,3.3,2.9,26.3,,108,115
550,Ricky Rubio,PG,29,PHO,65,65,2016,6.7,16.3,.415,1.8,5.1,.361,4.9,11.2,.439,4.6,5.3,.863,1.1,6.1,7.1,13.4,2.2,0.3,4.1,3.9,19.9,,113,111
551,D'Angelo Russell,PG,23,TOT,45,45,1452,11.8,27.7,.426,5.2,14.1,.367,6.6,13.6,.487,5.3,6.5,.809,0.6,5.2,5.8,9.3,1.6,0.4,4.8,2.8,34.0,,106,115
552,D'Angelo Russell,PG,23,GSW,33,33,1060,12.3,28.7,.430,5.4,14.5,.374,6.9,14.2,.487,5.1,6.5,.785,0.6,4.9,5.5,9.3,1.4,0.4,4.6,2.9,35.2,,106,116
553,D'Angelo Russell,PG,23,MIN,12,12,392,10.3,25.0,.412,4.5,13.0,.345,5.8,12.0,.485,5.7,6.5,.873,0.4,6.2,6.5,9.4,2.0,0.5,5.4,2.6,30.8,,105,113
554,Domantas Sabonis,PF,23,IND,62,62,2159,10.3,19.1,.540,0.4,1.5,.254,9.9,17.6,.565,4.8,6.7,.723,4.2,13.1,17.3,7.0,1.1,0.7,3.8,4.4,25.8,,115,106
555,Luka Šamanić,PF,20,SAS,3,1,48,5.0,15.9,.313,3.0,8.0,.375,2.0,8.0,.250,3.0,4.0,.750,1.0,9.0,10.0,6.0,0.0,2.0,2.0,6.0,15.9,,98,115
556,JaKarr Sampson,SF,26,IND,34,12,471,7.0,11.8,.591,0.2,1.3,.154,6.8,10.5,.647,1.9,2.8,.667,2.1,7.0,9.1,2.2,1.6,1.2,1.5,6.6,16.1,,118,108
557,Dario Šarić,PF,25,PHO,66,51,1632,7.4,15.6,.476,2.4,6.8,.357,5.0,8.8,.568,3.1,3.7,.844,2.9,8.9,11.8,3.6,1.1,0.5,2.6,4.5,20.4,,114,112
558,Tomáš Satoranský,PG,28,CHI,65,64,1878,6.1,14.1,.430,1.6,5.1,.322,4.4,9.0,.491,2.7,3.1,.876,1.9,4.6,6.5,9.1,2.1,0.2,3.3,3.5,16.5,,111,112
559,Admiral Schofield,SF,22,WAS,33,2,368,4.4,11.7,.380,2.4,7.7,.311,2.0,3.9,.516,1.3,1.9,.667,0.9,5.1,6.0,1.9,1.0,0.5,0.9,6.4,12.6,,104,118
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Dennis Schröder,PG,26,OKC,65,2,1999,11.0,23.5,.469,3.0,7.9,.385,8.0,15.6,.513,4.8,5.7,.839,0.5,5.3,5.7,6.4,1.1,0.3,4.0,3.5,29.9,,108,112
562,Mike Scott,PF,31,PHI,68,11,1207,6.0,14.1,.426,3.2,8.7,.369,2.8,5.3,.519,1.2,1.5,.811,2.6,7.3,10.0,2.2,0.8,0.2,1.0,3.9,16.4,,117,112
563,Thabo Sefolosha,PF,35,HOU,41,0,436,3.9,9.7,.407,1.6,5.7,.278,2.3,3.9,.595,0.3,0.8,.375,2.2,7.6,9.9,2.7,2.5,1.3,1.6,4.6,9.8,,103,107
564,Collin Sexton,SG,21,CLE,65,65,2143,11.6,24.7,.472,2.2,5.8,.380,9.4,18.9,.501,5.1,6.1,.846,1.4,3.2,4.6,4.4,1.5,0.2,3.6,3.2,30.6,,108,118
565,Landry Shamet,SG,22,LAC,53,30,1452,5.1,12.7,.404,3.6,9.6,.375,1.5,3.1,.495,2.1,2.5,.855,0.2,3.1,3.3,3.2,0.7,0.3,1.4,4.6,16.0,,115,113
566,Marial Shayok,SG,24,PHI,4,0,28,5.2,20.8,.250,3.5,10.4,.333,1.7,10.4,.167,5.2,6.9,.750,1.7,10.4,12.1,1.7,0.0,1.7,5.2,6.9,19.0,,75,110
567,Iman Shumpert,SG,29,BRK,13,0,241,4.1,12.6,.328,1.6,6.5,.242,2.6,6.1,.419,0.8,1.4,.571,1.8,4.9,6.7,2.4,2.4,0.4,2.0,4.1,10.6,,85,109
568,Pascal Siakam,PF,25,TOR,60,60,2110,11.3,24.9,.453,3.0,8.2,.359,8.3,16.7,.499,5.4,6.8,.792,1.4,8.5,9.9,4.7,1.4,1.2,3.3,3.8,30.9,,107,105
569,Chris Silva,PF,23,MIA,44,0,346,6.8,11.0,.615,0.0,0.4,.000,6.8,10.6,.640,5.2,7.8,.673,8.5,9.3,17.8,3.2,1.3,3.0,4.5,12.0,18.8,,120,106
570,Ben Simmons,PG,23,PHI,57,57,2017,9.0,15.5,.580,0.0,0.2,.286,9.0,15.4,.583,4.4,7.2,.621,2.7,8.0,10.7,10.9,2.9,0.8,4.8,4.5,22.5,,116,106
571,Anfernee Simons,SG,20,POR,70,4,1449,7.0,17.6,.399,2.5,7.4,.332,4.6,10.2,.448,2.5,3.0,.826,0.8,4.2,5.0,3.2,0.9,0.3,2.0,4.4,19.0,,102,119
572,Alen Smailagić,PF,19,GSW,14,0,139,6.9,13.8,.500,1.0,4.5,.231,5.9,9.3,.630,5.5,6.5,.842,3.4,5.9,9.3,4.5,1.0,1.4,3.8,4.8,20.3,,112,115
573,Marcus Smart,SG,25,BOS,60,40,1919,6.4,17.2,.375,3.4,9.9,.347,3.0,7.2,.415,3.2,3.8,.836,1.1,4.6,5.7,7.3,2.5,0.7,2.6,4.1,19.5,,110,107
574,Dennis Smith Jr.,PG,22,NYK,34,3,537,6.5,19.1,.341,1.5,4.9,.296,5.1,14.2,.357,2.4,4.8,.509,1.9,5.2,7.1,8.9,2.5,0.7,5.3,5.9,17.0,,84,112
575,Ish Smith,PG,31,WAS,68,23,1787,8.1,18.0,.447,1.6,4.4,.367,6.4,13.6,.473,1.6,2.2,.721,0.8,4.9,5.7,8.7,1.5,0.8,2.5,2.8,19.4,,108,117
576,J.R. Smith,SG,34,LAL,6,0,79,4.2,13.2,.318,0.6,6.6,.091,3.6,6.6,.545,1.2,1.2,1.000,0.0,3.0,3.0,1.8,0.6,0.0,2.4,3.0,10.2,,72,113
577,Zhaire Smith,SG,20,PHI,7,0,32,4.5,16.7,.273,0.0,4.5,.000,4.5,12.1,.375,3.0,6.1,.500,0.0,3.0,3.0,3.0,4.5,0.0,3.0,6.1,12.1,,65,106
578,Tony Snell,SF,28,DET,59,57,1641,5.1,11.5,.445,3.1,7.6,.402,2.0,3.8,.531,1.0,1.0,1.000,0.3,3.1,3.3,3.8,1.0,0.4,0.9,3.0,14.2,,121,117
579,Omari Spellman,PF,22,GSW,49,3,886,6.9,15.9,.431,2.3,5.9,.391,4.5,10.0,.454,3.9,5.0,.793,4.2,7.7,11.8,2.5,1.8,1.3,2.9,3.4,20.0,,107,112
580,Max Strus,SG,23,CHI,2,0,6,16.1,24.1,.667,0.0,8.0,.000,16.1,16.1,1.000,8.0,8.0,1.000,8.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,40.1,,153,119
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Edmond Sumner,PG,24,IND,31,3,447,6.6,15.4,.430,1.5,5.8,.264,5.1,9.7,.528,1.7,3.1,.552,1.2,3.8,5.0,6.0,1.6,1.0,2.4,4.8,16.5,,100,110
583,Caleb Swanigan,PF,22,TOT,27,1,288,4.6,7.8,.596,0.0,0.3,.000,4.6,7.5,.622,1.5,2.8,.529,4.5,12.1,16.6,5.1,0.5,1.2,6.1,10.3,10.8,,95,113
584,Caleb Swanigan,PF,22,SAC,7,0,23,4.2,8.4,.500,0.0,0.0,,4.2,8.4,.500,2.1,4.2,.500,4.2,10.5,14.8,4.2,2.1,4.2,12.7,16.9,10.5,,61,104
585,Caleb Swanigan,PF,22,POR,20,1,265,4.7,7.7,.605,0.0,0.4,.000,4.7,7.4,.634,1.4,2.7,.533,4.5,12.2,16.7,5.2,0.4,0.9,5.6,9.7,10.8,,99,114
586,Jayson Tatum,PF,21,BOS,66,66,2265,11.8,26.1,.450,4.0,10.0,.403,7.7,16.1,.480,5.4,6.7,.812,1.4,8.4,9.8,4.3,2.0,1.2,3.3,2.9,33.0,,111,106
587,Jeff Teague,PG,31,TOT,59,17,1464,6.8,15.5,.436,1.4,3.7,.368,5.4,11.8,.457,5.5,6.3,.873,0.9,3.7,4.5,9.8,1.4,0.6,3.7,3.4,20.4,,112,116
588,Jeff Teague,PG,31,MIN,34,13,945,7.1,15.9,.448,1.6,4.3,.379,5.5,11.6,.473,6.1,7.1,.868,0.7,3.6,4.3,10.2,1.2,0.6,3.7,3.4,22.0,,116,116
589,Jeff Teague,PG,31,ATL,25,4,519,6.1,14.8,.412,0.9,2.7,.333,5.2,12.1,.430,4.2,4.8,.887,1.1,3.8,4.8,9.0,1.7,0.5,3.6,3.2,17.3,,105,117
590,Garrett Temple,SG,33,BRK,62,35,1730,6.1,16.1,.378,3.5,10.6,.329,2.6,5.5,.473,1.9,2.4,.805,0.8,5.2,6.0,4.3,1.3,0.8,1.7,3.0,17.5,,106,111
591,Daniel Theis,C,27,BOS,65,64,1566,7.4,13.1,.566,1.0,3.0,.333,6.4,10.2,.633,2.7,3.5,.763,4.3,8.8,13.1,3.4,1.1,2.6,1.7,6.7,18.5,,130,105
592,Isaiah Thomas,PG,30,WAS,40,37,925,8.8,21.5,.408,3.9,9.6,.413,4.9,12.0,.405,3.1,3.8,.816,0.6,2.9,3.4,7.4,0.7,0.3,3.9,3.9,24.7,,103,120
593,Khyri Thomas,SG,23,DET,8,0,61,4.0,13.7,.294,4.0,11.3,.357,0.0,2.4,.000,1.6,3.2,.500,0.8,0.0,0.8,2.4,2.4,0.0,2.4,7.3,13.7,,88,116
594,Lance Thomas,SF,31,BRK,7,4,98,3.9,11.1,.348,1.9,6.3,.308,1.9,4.8,.400,1.9,1.9,1.000,1.0,5.3,6.3,2.9,0.0,0.0,2.9,5.3,11.6,,91,115
595,Matt Thomas,SG,25,TOR,41,1,440,7.9,16.2,.487,5.1,10.7,.475,2.8,5.5,.510,1.0,1.3,.750,1.0,5.6,6.6,2.4,1.1,0.1,1.7,4.1,21.8,,119,109
596,Tristan Thompson,C,28,CLE,57,51,1721,8.1,15.9,.512,0.3,0.7,.391,7.9,15.2,.518,2.8,4.6,.615,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,,112,114
597,Sindarius Thornwell,SG,25,NOP,2,0,35,7.9,14.5,.545,2.6,5.3,.500,5.3,9.3,.571,2.6,5.3,.500,0.0,5.3,5.3,5.3,1.3,1.3,2.6,2.6,21.2,,115,113
598,Matisse Thybulle,SG,22,PHI,65,14,1287,4.2,10.0,.423,2.1,5.9,.357,2.1,4.1,.519,0.9,1.5,.610,1.7,2.4,4.0,3.0,3.5,1.8,1.9,5.3,11.5,,105,106
599,Anthony Tolliver,PF,34,TOT,55,13,872,3.5,9.9,.357,2.7,7.9,.338,0.9,2.0,.432,1.1,1.6,.724,1.9,6.5,8.4,2.3,1.0,0.6,1.9,4.0,10.9,,103,115
600,Anthony Tolliver,PF,34,POR,33,9,554,3.7,10.1,.368,2.6,7.7,.337,1.1,2.4,.464,1.1,1.6,.684,2.3,7.1,9.5,2.5,0.7,0.8,1.8,4.6,11.1,,106,117
601,Anthony Tolliver,PF,34,SAC,9,0,82,1.8,10.1,.176,1.2,8.9,.133,0.6,1.2,.500,0.6,1.2,.500,1.2,5.3,6.5,1.8,2.4,0.6,2.4,3.6,5.3,,57,112
602,Anthony Tolliver,PF,34,MEM,13,4,236,3.8,9.5,.396,3.4,8.1,.415,0.4,1.4,.286,1.4,1.6,.875,1.0,5.5,6.5,2.0,1.4,0.2,1.8,2.8,12.3,,110,113
603,Juan Toscano-Anderson,SF,26,GSW,13,6,272,5.1,11.1,.460,1.4,4.0,.348,3.7,7.0,.525,0.5,0.9,.600,1.6,7.6,9.1,4.6,2.3,0.9,2.8,5.3,12.1,,98,112
604,Karl-Anthony Towns,C,24,MIN,35,35,1187,12.4,24.3,.508,4.5,10.8,.412,7.9,13.5,.586,7.0,8.8,.796,3.7,11.1,14.8,6.0,1.3,1.6,4.3,4.6,36.2,,121,110
605,Gary Trent Jr.,SG,21,POR,61,8,1332,7.0,15.8,.444,4.0,9.6,.418,3.0,6.2,.486,1.3,1.6,.822,0.9,2.7,3.6,2.2,1.7,0.6,0.8,3.2,19.4,,121,117
606,Allonzo Trier,PG,24,NYK,24,1,291,8.5,17.7,.481,3.2,8.9,.358,5.4,8.9,.604,5.7,7.2,.791,1.0,3.8,4.9,4.7,0.5,0.7,3.7,4.9,25.9,,115,118
