,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
286,Juan Hernangómez,PF,24,TOT,48,14,833,5.7,14.2,.405,2.5,7.4,.341,3.2,6.8,.475,2.5,4.1,.620,2.5,8.9,11.3,2.3,1.1,0.5,1.8,3.7,16.6,,105,113
287,Juan Hernangómez,PF,24,DEN,34,0,422,4.5,12.9,.345,1.8,7.0,.250,2.7,5.9,.460,1.9,2.9,.640,2.8,8.3,11.1,2.6,0.6,0.6,2.1,3.4,12.5,,95,113
288,Juan Hernangómez,PF,24,MIN,14,14,411,7.0,15.5,.453,3.3,7.8,.420,3.7,7.7,.485,3.2,5.2,.609,2.1,9.4,11.5,2.0,1.6,0.5,1.6,4.0,20.4,,114,112
289,Willy Hernangómez,C,25,CHO,31,0,375,9.9,18.6,.532,0.7,2.9,.227,9.2,15.6,.590,4.9,7.9,.627,5.7,12.2,17.9,3.9,1.3,0.9,4.0,4.3,25.4,,110,110
290,Tyler Herro,SG,20,MIA,55,8,1508,8.7,20.4,.428,3.8,9.6,.389,5.0,10.8,.462,2.8,3.2,.870,0.5,6.7,7.3,3.9,1.1,0.3,2.8,2.5,24.1,,103,112
291,Kevin Hervey,PF,23,OKC,10,0,52,6.5,25.2,.259,2.8,18.7,.150,3.7,6.5,.571,0.0,0.0,,0.9,10.3,11.2,4.7,0.9,0.9,0.0,3.7,15.9,,78,109
292,Mario Hezonja,PF,24,POR,53,4,871,5.0,11.9,.422,1.3,4.3,.308,3.7,7.7,.486,2.6,3.2,.814,1.6,8.4,10.1,2.7,2.0,0.5,2.3,5.9,14.0,,104,113
293,Buddy Hield,SG,27,SAC,72,44,2216,10.9,25.4,.429,5.9,15.1,.394,5.0,10.4,.479,2.5,3.0,.846,1.2,5.9,7.2,4.7,1.4,0.4,3.7,3.6,30.3,,106,114
294,George Hill,PG,33,MIL,59,2,1271,7.0,13.5,.516,2.9,6.3,.460,4.1,7.2,.565,3.1,3.6,.842,1.8,4.6,6.4,6.5,1.7,0.2,2.0,3.0,19.9,,131,106
295,Solomon Hill,SF,28,TOT,59,4,1088,4.8,12.0,.396,2.7,7.4,.368,2.0,4.6,.439,1.7,2.3,.741,1.3,5.9,7.1,4.5,1.9,0.5,2.2,3.7,14.0,,106,111
