,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
109,Kentavious Caldwell-Pope,SG,26,LAL,69,1762,,35%,58%,7%,,4.5,-2.6,39,15,65,3,41,21,267,9,15
110,Vlatko Čančar,SF,22,DEN,14,45,,10%,24%,48%,18%,-7.6,-10.0,2,0,3,1,1,0,6,0,1
111,Clint Capela,C,25,HOU,39,1279,,,,,100%,2.4,-1.0,22,22,35,9,54,12,122,16,40
112,DeMarre Carroll,SF-PF,33,TOT,24,290,,1%,60%,39%,,0.2,-0.8,6,5,16,4,20,2,65,2,4
113,DeMarre Carroll,SF,33,SAS,15,135,,,73%,27%,,7.2,8.7,4,1,8,4,10,0,26,0,2
114,DeMarre Carroll,PF,33,HOU,9,155,,2%,49%,49%,,-5.6,-9.0,2,4,8,0,10,2,39,2,2
115,Jevon Carter,PG,24,PHO,58,945,100%,,,,,1.2,1.0,15,6,47,3,7,9,201,2,11
116,Vince Carter,SF,43,ATL,60,876,,13%,58%,28%,1%,-9.4,-2.0,21,3,44,5,9,4,115,2,6
117,Wendell Carter Jr.,C,20,CHI,43,1256,,,,,100%,-0.9,4.0,17,23,83,22,66,10,132,10,32
118,Michael Carter-Williams,SG,28,ORL,45,833,32%,67%,1%,,,1.8,3.7,32,14,33,3,47,32,258,13,20
119,Alex Caruso,PG,25,LAL,64,1175,53%,46%,1%,,,10.4,7.1,34,15,37,3,34,26,291,9,24
120,Willie Cauley-Stein,C,26,TOT,54,1097,,,,1%,99%,-5.5,-4.8,13,13,67,7,34,4,165,8,18
121,Willie Cauley-Stein,C,26,GSW,41,940,,,,,100%,-7.1,2.4,12,13,57,5,28,4,141,5,16
122,Willie Cauley-Stein,C,26,DAL,13,157,,,,5%,95%,4.2,-0.7,1,0,10,2,6,0,24,3,2
123,Tyson Chandler,C,37,HOU,26,219,,,,,100%,4.7,1.8,1,1,21,4,6,2,13,1,1
